                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.89405,                0.86934,                  1.205,                0.90912,                0.87473,                0.92682,                0.70347,                0.90214,                0.66282,                 1.2163,             0.00049529,             0.00049529,             0.00049529
                     36,                0.88598,                0.82119,                 1.1921,                0.90626,                0.89522,                0.93521,                0.71902,                 0.8816,                  0.646,                 1.2108,               0.000467,               0.000467,               0.000467
                     37,                0.88833,                0.80369,                 1.1933,                0.94099,                0.87958,                 0.9311,                0.71736,                0.86433,                0.64991,                 1.1884,              0.0004387,              0.0004387,              0.0004387
                     38,                0.88258,                0.80636,                 1.1883,                0.93945,                0.88906,                0.94098,                0.73287,                 0.8467,                0.60454,                 1.1836,             0.00041041,             0.00041041,             0.00041041
                     39,                0.85575,                0.75724,                 1.1793,                0.91295,                0.92218,                0.94109,                0.73219,                0.86298,                0.59013,                 1.1914,             0.00038211,             0.00038211,             0.00038211
                     40,                0.86242,                0.76043,                 1.1785,                0.92535,                0.90645,                0.94226,                0.73453,                0.84803,                0.59627,                 1.1751,             0.00035382,             0.00035382,             0.00035382
                     41,                 0.7502,                0.55394,                 1.1318,                0.92792,                0.89753,                0.95029,                0.72729,                0.86846,                0.57264,                 1.1913,             0.00032553,             0.00032553,             0.00032553
                     42,                0.75058,                0.54466,                 1.1375,                0.92133,                 0.8918,                0.94857,                0.73551,                 0.8533,                0.57108,                 1.1703,             0.00029723,             0.00029723,             0.00029723
                     43,                0.71462,                0.49798,                 1.1279,                0.94396,                0.90488,                0.95431,                0.74966,                0.83853,                0.55243,                 1.1616,             0.00026894,             0.00026894,             0.00026894
                     44,                0.69469,                0.48919,                 1.0907,                0.93947,                0.90799,                 0.9536,                0.75255,                0.82911,                0.55403,                  1.153,             0.00024064,             0.00024064,             0.00024064
                     45,                0.69177,                0.47365,                 1.0927,                0.95323,                 0.8881,                0.95483,                0.74697,                0.83545,                0.55089,                 1.1603,             0.00021235,             0.00021235,             0.00021235
                     46,                 0.6737,                0.45459,                 1.0769,                0.92639,                0.93702,                0.95658,                0.75401,                0.83996,                 0.5411,                 1.1527,             0.00018406,             0.00018406,             0.00018406
                     47,                0.66587,                0.44822,                 1.0663,                0.94171,                 0.9272,                0.95492,                0.75523,                0.82205,                0.53216,                 1.1309,             0.00015576,             0.00015576,             0.00015576
                     48,                0.65127,                0.43906,                 1.0673,                0.94549,                0.91073,                0.95292,                0.76109,                0.81167,                0.52874,                 1.1285,             0.00012747,             0.00012747,             0.00012747
                     49,                0.65062,                0.43063,                 1.0606,                0.95009,                0.92615,                 0.9613,                0.77153,                0.79397,                0.50397,                 1.1233,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.62197,                0.41376,                  1.037,                0.94504,                 0.9093,                  0.956,                0.76872,                 0.7967,                0.51996,                 1.1209,             7.0878e-05,             7.0878e-05,             7.0878e-05
